 X,Y,Z,U,V,W,R
   714.56548 ,   691.22581 ,  -135.62969 ,    -0.00088 ,    -0.00003 ,     0.00000 ,     5.13767
   693.47266 ,   721.53036 ,    18.15138 ,    -0.00096 ,    -0.00075 ,     0.00024 ,     5.06837
   704.87333 ,   700.52211 ,   -96.90789 ,     0.00050 ,     0.00008 ,     0.00003 ,     5.14892
   709.28564 ,   703.31201 ,    18.09104 ,    -0.00012 ,    -0.00016 ,     0.00036 ,     5.09673
   617.90340 ,   763.71148 ,   -47.54725 ,    -0.00070 ,     0.00016 ,     0.00043 ,     5.40943
   697.42533 ,   716.56492 ,   -61.11637 ,     0.00036 ,     0.00027 ,     0.00079 ,     4.85827
   723.63258 ,   626.86190 ,    53.19626 ,    -0.00007 ,    -0.00013 ,     0.00026 ,     5.44810
   700.94491 ,   715.77159 ,    50.67124 ,     0.00076 ,    -0.00016 ,     0.00015 ,     5.36508
   701.74404 ,   699.31804 ,  -151.32963 ,    -0.00015 ,     0.00082 ,    -0.00021 ,     4.86165
   691.37291 ,   698.19108 ,  -169.70444 ,    -0.00091 ,    -0.00020 ,     0.00016 ,     4.09255
   658.01734 ,   724.75140 ,    -0.99152 ,    -0.00041 ,    -0.00045 ,    -0.00008 ,     5.79302
   652.86043 ,   851.79917 ,    69.73209 ,    -0.00045 ,     0.00057 ,    -0.00092 ,     4.99573
   677.57876 ,   723.39243 ,    -7.95467 ,     0.00045 ,     0.00085 ,    -0.00054 ,     4.99637
   827.87344 ,   831.40502 ,    -4.69904 ,    -0.00093 ,     0.00006 ,    -0.00012 ,     4.82898
   646.98941 ,   657.83859 ,  -125.90352 ,     0.00040 ,     0.00026 ,     0.00007 ,     5.49909
   629.53421 ,   722.71920 ,    79.67134 ,    -0.00078 ,     0.00077 ,     0.00003 ,     4.30429
   580.42802 ,   678.60413 ,    -5.45535 ,     0.00073 ,    -0.00072 ,     0.00046 ,     5.60752
   535.56427 ,   696.38485 ,    68.83970 ,    -0.00089 ,     0.00028 ,    -0.00034 ,     4.48344
   634.97941 ,   700.94133 ,    25.70276 ,    -0.00067 ,     0.00075 ,    -0.00020 ,     5.66706
   612.74664 ,   690.44215 ,    57.49517 ,     0.00056 ,    -0.00020 ,    -0.00096 ,     5.87548
   646.60758 ,   635.40596 ,   -82.83848 ,    -0.00045 ,     0.00058 ,     0.00001 ,     5.44545
   740.61706 ,   650.96596 ,    16.07817 ,    -0.00025 ,    -0.00041 ,     0.00015 ,     5.07431
   713.90289 ,   669.19917 ,    13.76008 ,     0.00079 ,     0.00011 ,     0.00002 ,     4.23548
   673.61240 ,   689.65779 ,    13.28461 ,     0.00063 ,     0.00072 ,     0.00011 ,     4.78410
   667.11680 ,   784.30572 ,   157.86677 ,    -0.00042 ,    -0.00010 ,     0.00019 ,     4.20858
   689.08794 ,   752.91332 ,     9.19140 ,    -0.00075 ,     0.00026 ,    -0.00031 ,     5.75959
   665.17146 ,   765.08011 ,  -162.49249 ,    -0.00033 ,    -0.00058 ,    -0.00023 ,     5.81015
   704.57719 ,   678.01458 ,    70.31059 ,    -0.00004 ,    -0.00008 ,     0.00068 ,     4.75215
   748.00797 ,   744.09555 ,     5.55302 ,     0.00030 ,    -0.00016 ,    -0.00010 ,     4.00211
   708.51401 ,   697.89551 ,    -3.30798 ,     0.00084 ,    -0.00007 ,    -0.00076 ,     5.16276
   691.56620 ,   700.04117 ,    61.70917 ,    -0.00008 ,    -0.00038 ,     0.00062 ,     4.42209
   731.61601 ,   687.61373 ,    -6.49989 ,    -0.00052 ,    -0.00075 ,     0.00058 ,     4.15309
   703.08679 ,   681.71697 ,   -88.77762 ,     0.00026 ,    -0.00071 ,    -0.00020 ,     5.25282
   690.28345 ,   622.14260 ,    63.63257 ,    -0.00032 ,    -0.00020 ,     0.00072 ,     4.37142
   739.77877 ,   650.60439 ,   125.03691 ,    -0.00006 ,    -0.00092 ,    -0.00061 ,     4.41514
   626.66177 ,   736.55972 ,   -23.60331 ,     0.00016 ,    -0.00085 ,    -0.00097 ,     4.46358
   737.92938 ,   706.03555 ,    62.03586 ,     0.00090 ,    -0.00093 ,     0.00067 ,     4.96024
   549.35324 ,   720.46073 ,   -15.85641 ,     0.00005 ,    -0.00001 ,    -0.00062 ,     5.55273
   698.72179 ,   700.59781 ,    -0.46471 ,    -0.00050 ,    -0.00038 ,     0.00037 ,     4.92073
   703.87179 ,   731.41737 ,    51.60765 ,     0.00076 ,     0.00002 ,    -0.00003 ,     5.95746
   746.41546 ,   720.69972 ,    74.09517 ,     0.00004 ,     0.00085 ,    -0.00010 ,     4.23914
   710.34791 ,   675.20956 ,   -45.78397 ,     0.00036 ,     0.00062 ,     0.00073 ,     4.27224
   680.42991 ,   673.61097 ,   108.10162 ,    -0.00081 ,    -0.00069 ,     0.00017 ,     4.56579
   706.73190 ,   681.50435 ,   119.85142 ,    -0.00100 ,     0.00078 ,    -0.00054 ,     4.52998
   691.74481 ,   824.64149 ,   117.88569 ,    -0.00058 ,    -0.00080 ,    -0.00012 ,     4.36661
   625.12902 ,   705.58624 ,    76.24052 ,    -0.00015 ,     0.00076 ,     0.00000 ,     5.72959
   696.49829 ,   690.51659 ,   182.26876 ,     0.00032 ,    -0.00010 ,     0.00007 ,     4.52944
   822.82293 ,   659.22857 ,     3.09313 ,     0.00026 ,     0.00058 ,    -0.00046 ,     4.90124
   700.98139 ,   632.88926 ,   -60.13095 ,     0.00098 ,    -0.00080 ,     0.00092 ,     4.54644
   684.39219 ,   682.75220 ,   -10.74716 ,    -0.00066 ,     0.00056 ,    -0.00065 ,     5.05197
   704.56142 ,   742.58679 ,  -108.26883 ,    -0.00045 ,     0.00087 ,    -0.00015 ,     5.49047
   700.25923 ,   700.59433 ,    53.54163 ,    -0.00060 ,     0.00092 ,    -0.00086 ,     5.41412
   703.79642 ,   761.14964 ,     6.14597 ,     0.00080 ,    -0.00086 ,     0.00076 ,     5.16487
   667.67147 ,   739.58945 ,   136.67771 ,     0.00030 ,    -0.00080 ,     0.00089 ,     5.96471
   667.71447 ,   712.57998 ,   -75.44316 ,    -0.00054 ,    -0.00072 ,    -0.00047 ,     4.92455
   693.08688 ,   603.66523 ,    49.22289 ,    -0.00056 ,    -0.00095 ,    -0.00042 ,     5.02957
   720.58072 ,   696.78704 ,   -21.47637 ,    -0.00079 ,     0.00087 ,    -0.00022 ,     4.03180
   819.65886 ,   656.21527 ,    -7.68225 ,     0.00090 ,    -0.00093 ,    -0.00008 ,     5.73555
   700.16218 ,   699.45003 ,   152.82171 ,     0.00067 ,     0.00079 ,    -0.00056 ,     5.94731
   702.11313 ,   631.50831 ,   166.73790 ,    -0.00095 ,     0.00002 ,    -0.00098 ,     5.50258
   666.67765 ,   708.26413 ,    15.72774 ,     0.00036 ,    -0.00098 ,     0.00023 ,     5.34203
   715.98757 ,   721.15379 ,   -32.32284 ,     0.00037 ,     0.00039 ,     0.00064 ,     5.51124
   778.70792 ,   677.84714 ,  -174.16253 ,     0.00011 ,    -0.00010 ,    -0.00082 ,     5.89048
   687.75292 ,   719.29159 ,   -42.63415 ,    -0.00014 ,     0.00051 ,    -0.00077 ,     5.37486
   719.34315 ,   603.40068 ,  -118.10309 ,    -0.00070 ,     0.00060 ,     0.00008 ,     5.48816
   703.15005 ,   709.29651 ,     1.19150 ,     0.00010 ,     0.00075 ,    -0.00081 ,     4.43454
   788.72111 ,   691.35211 ,    54.25727 ,    -0.00003 ,     0.00050 ,    -0.00036 ,     4.69546
   674.54033 ,   726.14517 ,   -95.15251 ,     0.00092 ,    -0.00027 ,     0.00006 ,     4.53368
   776.89829 ,   806.46196 ,   -31.56969 ,     0.00072 ,    -0.00089 ,    -0.00086 ,     4.10712
   707.61379 ,   703.03690 ,    41.14996 ,    -0.00083 ,     0.00084 ,    -0.00021 ,     5.39953
   692.66422 ,   688.57433 ,   -16.83521 ,     0.00009 ,    -0.00032 ,     0.00050 ,     5.96432
   634.87263 ,   632.36020 ,   -24.47812 ,    -0.00030 ,    -0.00022 ,     0.00027 ,     4.42652
   705.04978 ,   699.07567 ,   -45.45406 ,     0.00088 ,     0.00084 ,     0.00084 ,     4.81982
   664.54636 ,   713.44454 ,  -186.05083 ,     0.00089 ,    -0.00042 ,    -0.00036 ,     4.77642
   798.97932 ,   722.59107 ,  -108.62786 ,     0.00093 ,    -0.00078 ,     0.00011 ,     4.52567
   708.49220 ,   565.18809 ,  -139.54500 ,     0.00046 ,     0.00077 ,    -0.00017 ,     4.54744
   788.12348 ,   802.75815 ,   -36.42407 ,     0.00098 ,    -0.00014 ,     0.00055 ,     4.27275
   826.25133 ,   818.15188 ,   -50.59326 ,    -0.00081 ,     0.00061 ,     0.00073 ,     4.73235
